 NP
  0.000000000000000E+000  !scissors operator
5.6091
     3.3231136     0.0000000     0.0000000
     0.0000000     4.3489554     0.0000000
     0.0000000     0.0000000    10.5137048
 written on 19Apr2023 at 22:44:49 
          32
          81
    4    2    2    2    2    2    2    2    4    2    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    2    2    1    1
    1    1    1    1    1    2    2    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    2    2    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    2    4    2    2
    2    2    2    2    2    4
   -4   -4    0    1    1   -0.002023   -0.000000
   -4   -4    0    2    1    0.000183    0.000193
   -4   -4    0    3    1   -0.001226    0.000039
   -4   -4    0    4    1   -0.000213    0.000288
   -4   -4    0    5    1   -0.001071    0.000014
   -4   -4    0    6    1    0.000668   -0.000093
   -4   -4    0    7    1    0.000389    0.000253
   -4   -4    0    8    1    0.000406   -0.000148
   -4   -4    0    9    1    0.000153    0.000072
   -4   -4    0   10    1   -0.000676   -0.000009
   -4   -4    0   11    1   -0.000718    0.000015
   -4   -4    0   12    1   -0.000342   -0.000034
   -4   -4    0   13    1    0.000078    0.000388
   -4   -4    0   14    1    0.000338   -0.000400
   -4   -4    0   15    1    0.001452   -0.000054
   -4   -4    0   16    1    0.001209    0.000287
   -4   -4    0   17    1   -0.000118   -0.000021
   -4   -4    0   18    1   -0.000221    0.000004
   -4   -4    0   19    1    0.000561   -0.000068
   -4   -4    0   20    1   -0.000228    0.000110
   -4   -4    0   21    1    0.001291   -0.000026
   -4   -4    0   22    1    0.000229    0.000334
   -4   -4    0   23    1   -0.001264    0.000099
   -4   -4    0   24    1    0.000068    0.000394
   -4   -4    0   25    1   -0.000734    0.000151
   -4   -4    0   26    1   -0.000741    0.000130
   -4   -4    0   27    1   -0.000630   -0.000052
   -4   -4    0   28    1   -0.000976    0.000511
   -4   -4    0   29    1   -0.000561    0.000022
   -4   -4    0   30    1   -0.000356    0.000012
   -4   -4    0   31    1   -0.000183    0.000022
   -4   -4    0   32    1    0.000605   -0.000038
   -4   -4    0    1    2    0.000183   -0.000193
   -4   -4    0    2    2   -0.000148   -0.000000
   -4   -4    0    3    2   -0.000182    0.000202
   -4   -4    0    4    2   -0.000249   -0.001143
   -4   -4    0    5    2   -0.000680   -0.000112
   -4   -4    0    6    2   -0.000129   -0.000094
   -4   -4    0    7    2    0.000181   -0.000357
   -4   -4    0    8    2    0.000575   -0.000281
   -4   -4    0    9    2    0.000017   -0.000045
   -4   -4    0   10    2    0.000232    0.000505
   -4   -4    0   11    2    0.000005   -0.000053
   -4   -4    0   12    2   -0.000040   -0.000519
   -4   -4    0   13    2   -0.000404   -0.000414
   -4   -4    0   14    2    0.000125    0.001087
   -4   -4    0   15    2   -0.000350    0.000150
   -4   -4    0   16    2   -0.000270   -0.001537
   -4   -4    0   17    2    0.000776    0.000261
   -4   -4    0   18    2   -0.000365   -0.000448
   -4   -4    0   19    2    0.000225   -0.000075
   -4   -4    0   20    2   -0.000116   -0.000296
   -4   -4    0   21    2   -0.000223   -0.000087
   -4   -4    0   22    2   -0.000192   -0.001235
   -4   -4    0   23    2   -0.000227   -0.000074
   -4   -4    0   24    2    0.000541   -0.001288
   -4   -4    0   25    2   -0.000352   -0.000201
   -4   -4    0   26    2    0.000471   -0.000105
   -4   -4    0   27    2    0.000587    0.000058
   -4   -4    0   28    2   -0.000024   -0.001217
   -4   -4    0   29    2   -0.000349    0.000002
   -4   -4    0   30    2    0.000693   -0.000019
   -4   -4    0   31    2    0.000363   -0.000006
   -4   -4    0   32    2    0.000284   -0.000158
   -4   -4    0    1    3   -0.001226   -0.000039
   -4   -4    0    2    3   -0.000182   -0.000202
   -4   -4    0    3    3   -0.002027   -0.000000
   -4   -4    0    4    3    0.000221   -0.000281
   -4   -4    0    5    3   -0.000393    0.000281
   -4   -4    0    6    3    0.000179    0.000300
   -4   -4    0    7    3   -0.001349   -0.000016
   -4   -4    0    8    3    0.000801    0.000067
   -4   -4    0    9    3    0.000716    0.000027
   -4   -4    0   10    3    0.000669    0.000037
   -4   -4    0   11    3   -0.000154   -0.000074
   -4   -4    0   12    3    0.000330    0.000048
   -4   -4    0   13    3   -0.001079   -0.000020
   -4   -4    0   14    3    0.000404    0.000042
   -4   -4    0   15    3    0.000067   -0.000212
   -4   -4    0   16    3    0.001018   -0.000482
   -4   -4    0   17    3   -0.000527   -0.000067
   -4   -4    0   18    3   -0.000769    0.000211
   -4   -4    0   19    3   -0.000113   -0.000039
   -4   -4    0   20    3   -0.000700    0.000181
   -4   -4    0   21    3    0.001268   -0.000019
   -4   -4    0   22    3   -0.000219   -0.000347
   -4   -4    0   23    3   -0.001293    0.000025
   -4   -4    0   24    3   -0.000061   -0.000393
   -4   -4    0   25    3   -0.001582    0.000042
   -4   -4    0   26    3   -0.000226    0.000030
   -4   -4    0   27    3    0.000039    0.000072
   -4   -4    0   28    3   -0.001588   -0.000040
   -4   -4    0   29    3   -0.000182    0.000010
   -4   -4    0   30    3    0.000349    0.000007
   -4   -4    0   31    3   -0.000561    0.000019
   -4   -4    0   32    3   -0.000616    0.000025
   -4   -4    0    1    4   -0.000213   -0.000288
   -4   -4    0    2    4   -0.000249    0.001143
   -4   -4    0    3    4    0.000221    0.000281
   -4   -4    0    4    4   -0.000224   -0.000000
   -4   -4    0    5    4   -0.000393   -0.000214
   -4   -4    0    6    4    0.000607    0.000129
   -4   -4    0    7    4    0.000786   -0.000066
   -4   -4    0    8    4   -0.000197   -0.000191
   -4   -4    0    9    4    0.000139   -0.000000
   -4   -4    0   10    4   -0.000510    0.000303
   -4   -4    0   11    4    0.000145   -0.000005
   -4   -4    0   12    4   -0.000121   -0.000364
   -4   -4    0   13    4    0.000966    0.000061
   -4   -4    0   14    4    0.000215    0.001171
   -4   -4    0   15    4    0.001248    0.000316
   -4   -4    0   16    4    0.000262   -0.000490
   -4   -4    0   17    4    0.000669    0.000283
   -4   -4    0   18    4   -0.000012   -0.000836
   -4   -4    0   19    4    0.000243    0.000015
   -4   -4    0   20    4    0.000548   -0.000344
   -4   -4    0   21    4   -0.000087   -0.000072
   -4   -4    0   22    4    0.000548   -0.001269
   -4   -4    0   23    4   -0.000095   -0.000071
   -4   -4    0   24    4    0.000986   -0.000695
   -4   -4    0   25    4    0.001053   -0.000220
   -4   -4    0   26    4    0.000398   -0.000458
   -4   -4    0   27    4   -0.000399   -0.000116
   -4   -4    0   28    4    0.000888   -0.000287
   -4   -4    0   29    4   -0.000617   -0.000065
   -4   -4    0   30    4   -0.000287   -0.000105
   -4   -4    0   31    4    0.000606    0.000041
   -4   -4    0   32    4    0.001155    0.000040
   -4   -4    0    1    5   -0.001071   -0.000014
   -4   -4    0    2    5   -0.000680    0.000112
   -4   -4    0    3    5   -0.000393   -0.000281
   -4   -4    0    4    5   -0.000393    0.000214
